Step 109 (9.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 110 (9.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 111 (9.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 112 (9.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 113 (9.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 114 (8.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 115 (10.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 116 (8.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 117 (9.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 1.57 km/h, 0% other lane, 0% off-road
Step 118 (9.3 FPS): Map Position (1748.0,888.0) Lane Orientation (-1.0,-0.0) 5.06 km/h, 0% other lane, 0% off-road
Step 119 (8.3 FPS): Map Position (1747.0,888.0) Lane Orientation (-1.0,-0.0) 7.61 km/h, 0% other lane, 0% off-road
Step 120 (9.0 FPS): Map Position (1746.0,888.0) Lane Orientation (-1.0,-0.0) 9.38 km/h, 0% other lane, 0% off-road
Step 121 (8.8 FPS): Map Position (1744.0,888.0) Lane Orientation (-1.0,-0.0) 9.68 km/h, 0% other lane, 0% off-road
Step 122 (8.9 FPS): Map Position (1743.0,888.0) Lane Orientation (-1.0,-0.0) 9.25 km/h, 0% other lane, 0% off-road
Step 123 (8.2 FPS): Map Position (1741.0,888.0) Lane Orientation (-1.0,-0.0) 8.55 km/h, 0% other lane, 0% off-road
Step 124 (9.6 FPS): Map Position (1740.0,888.0) Lane Orientation (-1.0,-0.0) 7.81 km/h, 0% other lane, 0% off-road
Step 125 (8.2 FPS): Map Position (1738.0,888.0) Lane Orientation (-1.0,-0.0) 8.18 km/h, 0% other lane, 0% off-road
Step 126 (9.4 FPS): Map Position (1737.0,888.0) Lane Orientation (-1.0,-0.0) 9.38 km/h, 0% other lane, 0% off-road
Step 127 (8.4 FPS): Map Position (1735.0,888.0) Lane Orientation (-1.0,-0.0) 10.90 km/h, 0% other lane, 0% off-road
Step 128 (8.9 FPS): Map Position (1733.0,888.0) Lane Orientation (-1.0,-0.0) 12.54 km/h, 0% other lane, 0% off-road
Step 129 (9.7 FPS): Map Position (1731.0,888.0) Lane Orientation (-1.0,-0.0) 13.90 km/h, 0% other lane, 0% off-road
Step 130 (8.6 FPS): Map Position (1729.0,888.0) Lane Orientation (-1.0,-0.0) 13.95 km/h, 0% other lane, 0% off-road
Step 131 (8.2 FPS): Map Position (1726.0,888.0) Lane Orientation (-1.0,-0.0) 13.41 km/h, 0% other lane, 0% off-road
Step 132 (10.0 FPS): Map Position (1724.0,888.0) Lane Orientation (-1.0,-0.0) 13.58 km/h, 0% other lane, 0% off-road
Step 133 (8.6 FPS): Map Position (1722.0,888.0) Lane Orientation (-1.0,-0.0) 14.57 km/h, 0% other lane, 0% off-road
Step 134 (8.1 FPS): Map Position (1719.0,888.0) Lane Orientation (-1.0,-0.0) 15.90 km/h, 0% other lane, 0% off-road
Step 135 (8.9 FPS): Map Position (1716.0,888.0) Lane Orientation (-1.0,-0.0) 17.05 km/h, 0% other lane, 0% off-road
Step 136 (9.5 FPS): Map Position (1713.0,888.0) Lane Orientation (-1.0,-0.0) 16.96 km/h, 0% other lane, 0% off-road
Step 137 (9.2 FPS): Map Position (1711.0,888.0) Lane Orientation (-1.0,-0.0) 16.26 km/h, 0% other lane, 0% off-road
Step 138 (9.0 FPS): Map Position (1708.0,888.0) Lane Orientation (-1.0,-0.0) 15.61 km/h, 0% other lane, 0% off-road
Step 139 (9.4 FPS): Map Position (1705.0,888.0) Lane Orientation (-1.0,-0.0) 14.73 km/h, 0% other lane, 0% off-road
Step 140 (8.4 FPS): Map Position (1703.0,888.0) Lane Orientation (-1.0,-0.0) 14.67 km/h, 0% other lane, 0% off-road
Step 141 (9.8 FPS): Map Position (1700.0,888.0) Lane Orientation (-1.0,-0.0) 15.14 km/h, 0% other lane, 0% off-road
Step 142 (9.4 FPS): Map Position (1698.0,888.0) Lane Orientation (-1.0,-0.0) 14.94 km/h, 0% other lane, 0% off-road
Step 143 (8.9 FPS): Map Position (1695.0,888.0) Lane Orientation (-1.0,-0.0) 15.20 km/h, 0% other lane, 0% off-road
Step 144 (9.1 FPS): Map Position (1693.0,888.0) Lane Orientation (-1.0,-0.0) 16.18 km/h, 0% other lane, 0% off-road
Step 145 (9.3 FPS): Map Position (1690.0,888.0) Lane Orientation (-1.0,-0.0) 17.47 km/h, 0% other lane, 0% off-road
Step 146 (9.0 FPS): Map Position (1687.0,888.0) Lane Orientation (-1.0,-0.0) 18.61 km/h, 0% other lane, 0% off-road
Step 147 (9.7 FPS): Map Position (1683.0,888.0) Lane Orientation (-1.0,-0.0) 18.53 km/h, 0% other lane, 0% off-road
Step 148 (8.8 FPS): Map Position (1680.0,888.0) Lane Orientation (-1.0,-0.0) 17.79 km/h, 0% other lane, 0% off-road
Step 149 (10.1 FPS): Map Position (1677.0,888.0) Lane Orientation (-1.0,-0.0) 17.64 km/h, 0% other lane, 0% off-road
Step 150 (9.2 FPS): Map Position (1674.0,888.0) Lane Orientation (-1.0,-0.0) 18.34 km/h, 0% other lane, 0% off-road
Step 151 (9.5 FPS): Map Position (1671.0,888.0) Lane Orientation (-1.0,-0.0) 19.45 km/h, 0% other lane, 0% off-road
Step 152 (9.0 FPS): Map Position (1668.0,888.0) Lane Orientation (-1.0,-0.0) 20.47 km/h, 0% other lane, 0% off-road
Step 153 (9.1 FPS): Map Position (1664.0,888.0) Lane Orientation (-1.0,-0.0) 20.48 km/h, 0% other lane, 0% off-road
Step 154 (9.1 FPS): Map Position (1661.0,888.0) Lane Orientation (-1.0,-0.0) 20.09 km/h, 0% other lane, 0% off-road
Step 155 (8.4 FPS): Map Position (1658.0,888.0) Lane Orientation (-1.0,-0.0) 19.08 km/h, 0% other lane, 0% off-road
Step 156 (9.1 FPS): Map Position (1654.0,888.0) Lane Orientation (-1.0,-0.0) 17.88 km/h, 0% other lane, 0% off-road
Step 157 (9.2 FPS): Map Position (1652.0,888.0) Lane Orientation (-1.0,-0.0) 17.39 km/h, 0% other lane, 0% off-road
Step 158 (9.4 FPS): Map Position (1649.0,888.0) Lane Orientation (-1.0,-0.0) 17.94 km/h, 0% other lane, 0% off-road
Step 159 (9.8 FPS): Map Position (1645.0,888.0) Lane Orientation (-1.0,-0.0) 18.66 km/h, 0% other lane, 0% off-road
Step 160 (8.4 FPS): Map Position (1642.0,888.0) Lane Orientation (-1.0,-0.0) 18.31 km/h, 0% other lane, 0% off-road
Step 161 (9.3 FPS): Map Position (1639.0,888.0) Lane Orientation (-1.0,-0.0) 17.25 km/h, 0% other lane, 0% off-road
Step 162 (9.8 FPS): Map Position (1636.0,888.0) Lane Orientation (-1.0,-0.0) 16.03 km/h, 0% other lane, 0% off-road
Step 163 (8.5 FPS): Map Position (1634.0,888.0) Lane Orientation (-1.0,-0.0) 15.73 km/h, 0% other lane, 0% off-road
Step 164 (9.5 FPS): Map Position (1631.0,888.0) Lane Orientation (-1.0,-0.0) 16.44 km/h, 0% other lane, 0% off-road
Step 165 (8.8 FPS): Map Position (1628.0,888.0) Lane Orientation (-1.0,-0.0) 17.25 km/h, 0% other lane, 0% off-road
Step 166 (8.7 FPS): Map Position (1625.0,888.0) Lane Orientation (-1.0,-0.0) 16.94 km/h, 0% other lane, 0% off-road
Step 167 (9.1 FPS): Map Position (1623.0,888.0) Lane Orientation (-1.0,-0.0) 15.91 km/h, 0% other lane, 0% off-road
Step 168 (10.1 FPS): Map Position (1620.0,888.0) Lane Orientation (-1.0,-0.0) 14.57 km/h, 0% other lane, 0% off-road
Step 169 (8.7 FPS): Map Position (1618.0,888.0) Lane Orientation (-1.0,-0.0) 13.38 km/h, 0% other lane, 0% off-road
Step 170 (10.0 FPS): Map Position (1615.0,888.0) Lane Orientation (-1.0,-0.0) 13.21 km/h, 0% other lane, 0% off-road
Step 171 (9.1 FPS): Map Position (1613.0,888.0) Lane Orientation (-1.0,-0.0) 14.08 km/h, 0% other lane, 0% off-road
Step 172 (10.8 FPS): Map Position (1611.0,888.0) Lane Orientation (-1.0,-0.0) 15.02 km/h, 0% other lane, 0% off-road
Step 173 (7.8 FPS): Map Position (1608.0,888.0) Lane Orientation (-1.0,-0.0) 14.81 km/h, 0% other lane, 0% off-road
Step 174 (9.5 FPS): Map Position (1606.0,888.0) Lane Orientation (-1.0,-0.0) 14.14 km/h, 0% other lane, 0% off-road
Step 175 (9.3 FPS): Map Position (1603.0,888.0) Lane Orientation (-1.0,-0.0) 14.21 km/h, 0% other lane, 0% off-road
