Step 132 (9.5 FPS): Map Position (1633.0,890.0) Lane Orientation (-1.0,-0.0) 15.76 km/h, 0% other lane, 0% off-road
Step 133 (8.5 FPS): Map Position (1631.0,891.0) Lane Orientation (-1.0,-0.0) 15.06 km/h, 0% other lane, 0% off-road
Step 134 (8.9 FPS): Map Position (1628.0,891.0) Lane Orientation (-1.0,-0.0) 15.08 km/h, 0% other lane, 0% off-road
Step 135 (9.5 FPS): Map Position (1626.0,891.0) Lane Orientation (-1.0,-0.0) 15.96 km/h, 0% other lane, 0% off-road
Step 136 (9.8 FPS): Map Position (1623.0,892.0) Lane Orientation (-1.0,-0.0) 16.95 km/h, 0% other lane, 0% off-road
Step 137 (9.1 FPS): Map Position (1620.0,892.0) Lane Orientation (-1.0,-0.0) 18.09 km/h, 0% other lane, 0% off-road
Step 138 (9.7 FPS): Map Position (1617.0,892.0) Lane Orientation (-1.0,-0.0) 18.04 km/h, 0% other lane, 0% off-road
Step 139 (8.1 FPS): Map Position (1614.0,892.0) Lane Orientation (-1.0,-0.0) 17.32 km/h, 0% other lane, 0% off-road
Step 140 (9.5 FPS): Map Position (1611.0,892.0) Lane Orientation (-1.0,-0.0) 17.22 km/h, 0% other lane, 0% off-road
Step 141 (8.2 FPS): Map Position (1608.0,892.0) Lane Orientation (-1.0,-0.0) 17.72 km/h, 0% other lane, 0% off-road
Step 142 (9.2 FPS): Map Position (1605.0,893.0) Lane Orientation (-1.0,-0.0) 18.60 km/h, 0% other lane, 0% off-road
Step 143 (5.9 FPS): Map Position (1602.0,893.0) Lane Orientation (-1.0,-0.0) 18.35 km/h, 0% other lane, 0% off-road
Step 144 (5.8 FPS): Map Position (1599.0,893.0) Lane Orientation (-1.0,-0.0) 17.31 km/h, 0% other lane, 0% off-road
Step 145 (8.2 FPS): Map Position (1596.0,893.0) Lane Orientation (-1.0,-0.0) 16.13 km/h, 0% other lane, 0% off-road
Step 146 (6.6 FPS): Map Position (1593.0,893.0) Lane Orientation (-1.0,-0.0) 15.64 km/h, 0% other lane, 0% off-road
