Step 164 (8.9 FPS): Map Position (1718.0,888.0) Lane Orientation (-1.0,-0.0) 15.25 km/h, 0% other lane, 0% off-road
Step 165 (8.9 FPS): Map Position (1715.0,888.0) Lane Orientation (-1.0,-0.0) 16.14 km/h, 0% other lane, 0% off-road
Step 166 (9.1 FPS): Map Position (1713.0,887.0) Lane Orientation (-1.0,-0.0) 15.72 km/h, 0% other lane, 0% off-road
Step 167 (7.4 FPS): Map Position (1710.0,887.0) Lane Orientation (-1.0,-0.0) 14.82 km/h, 0% other lane, 0% off-road
Step 168 (9.2 FPS): Map Position (1708.0,887.0) Lane Orientation (-1.0,-0.0) 13.58 km/h, 0% other lane, 0% off-road
Step 169 (8.7 FPS): Map Position (1706.0,887.0) Lane Orientation (-1.0,-0.0) 12.46 km/h, 0% other lane, 0% off-road
Step 170 (8.4 FPS): Map Position (1704.0,887.0) Lane Orientation (-1.0,-0.0) 12.39 km/h, 0% other lane, 0% off-road
Step 171 (9.4 FPS): Map Position (1701.0,887.0) Lane Orientation (-1.0,-0.0) 13.33 km/h, 0% other lane, 0% off-road
Step 172 (9.0 FPS): Map Position (1699.0,887.0) Lane Orientation (-1.0,-0.0) 14.67 km/h, 0% other lane, 0% off-road
Step 173 (9.1 FPS): Map Position (1696.0,887.0) Lane Orientation (-1.0,-0.0) 15.92 km/h, 0% other lane, 0% off-road
Step 174 (7.3 FPS): Map Position (1693.0,887.0) Lane Orientation (-1.0,-0.0) 17.53 km/h, 0% other lane, 0% off-road
Step 175 (8.2 FPS): Map Position (1690.0,887.0) Lane Orientation (-1.0,-0.0) 18.90 km/h, 0% other lane, 0% off-road
Step 176 (8.6 FPS): Map Position (1687.0,887.0) Lane Orientation (-1.0,-0.0) 18.95 km/h, 0% other lane, 0% off-road
Step 177 (8.7 FPS): Map Position (1684.0,887.0) Lane Orientation (-1.0,-0.0) 18.26 km/h, 0% other lane, 0% off-road
Step 178 (8.0 FPS): Map Position (1681.0,887.0) Lane Orientation (-1.0,-0.0) 18.05 km/h, 0% other lane, 0% off-road
Step 179 (7.7 FPS): Map Position (1678.0,887.0) Lane Orientation (-1.0,-0.0) 18.77 km/h, 0% other lane, 0% off-road
Step 180 (8.2 FPS): Map Position (1675.0,887.0) Lane Orientation (-1.0,-0.0) 19.89 km/h, 0% other lane, 0% off-road
Step 181 (8.7 FPS): Map Position (1671.0,887.0) Lane Orientation (-1.0,-0.0) 21.19 km/h, 0% other lane, 0% off-road
Step 182 (9.3 FPS): Map Position (1667.0,887.0) Lane Orientation (-1.0,-0.0) 22.32 km/h, 0% other lane, 0% off-road
Step 183 (8.1 FPS): Map Position (1664.0,887.0) Lane Orientation (-1.0,-0.0) 21.97 km/h, 0% other lane, 0% off-road
Step 184 (9.4 FPS): Map Position (1660.0,888.0) Lane Orientation (-1.0,-0.0) 21.01 km/h, 0% other lane, 0% off-road
Step 185 (9.0 FPS): Map Position (1657.0,888.0) Lane Orientation (-1.0,-0.0) 19.78 km/h, 0% other lane, 0% off-road
Step 186 (8.4 FPS): Map Position (1653.0,888.0) Lane Orientation (-1.0,-0.0) 19.12 km/h, 0% other lane, 0% off-road
Step 187 (7.5 FPS): Map Position (1650.0,888.0) Lane Orientation (-1.0,-0.0) 18.92 km/h, 0% other lane, 0% off-road
Step 188 (9.2 FPS): Map Position (1647.0,888.0) Lane Orientation (-1.0,-0.0) 18.43 km/h, 0% other lane, 0% off-road
Step 189 (9.1 FPS): Map Position (1644.0,888.0) Lane Orientation (-1.0,-0.0) 18.14 km/h, 0% other lane, 0% off-road
Step 190 (9.8 FPS): Map Position (1641.0,888.0) Lane Orientation (-1.0,-0.0) 18.04 km/h, 0% other lane, 0% off-road
Step 191 (8.6 FPS): Map Position (1638.0,888.0) Lane Orientation (-1.0,-0.0) 17.76 km/h, 0% other lane, 0% off-road
Step 192 (8.5 FPS): Map Position (1635.0,888.0) Lane Orientation (-1.0,-0.0) 16.78 km/h, 0% other lane, 0% off-road
Step 193 (9.4 FPS): Map Position (1632.0,888.0) Lane Orientation (-1.0,-0.0) 15.66 km/h, 0% other lane, 0% off-road
Step 194 (8.6 FPS): Map Position (1630.0,888.0) Lane Orientation (-1.0,-0.0) 15.43 km/h, 0% other lane, 0% off-road
Step 195 (8.7 FPS): Map Position (1627.0,888.0) Lane Orientation (-1.0,-0.0) 16.19 km/h, 0% other lane, 0% off-road
Step 196 (8.7 FPS): Map Position (1624.0,888.0) Lane Orientation (-1.0,-0.0) 17.38 km/h, 0% other lane, 0% off-road
Step 197 (9.8 FPS): Map Position (1621.0,888.0) Lane Orientation (-1.0,-0.0) 18.46 km/h, 0% other lane, 0% off-road
Step 198 (8.1 FPS): Map Position (1618.0,888.0) Lane Orientation (-1.0,-0.0) 18.34 km/h, 0% other lane, 0% off-road
